id,sku,name,brand,reference,equivalentReference,category,description,image,alt,source,sourcePage,status
partmo-a-105,A-105,Filtro de aceite Partmo A-105,Partmo,A-105,51810,Filtros de aceite,Filtro Aceite Flujo Completo Motores Detroit Diesel 3-53 (81- 93),/catalogo-filtros-diesel/partmo-a-105-filtro-aceite.png,"Filtro de aceite Partmo A-105, referencia A-105, equivalencia 51810",98590929-Catalogo-de-Filtros-Diesel.pdf,1,ready
partmo-a-116,A-116,Filtro de aceite Partmo A-116,Partmo,A-116,51670 / 51870,Filtros de aceite,Filtro Aceite Flujo Completo Motores Cummins NH y NT,/catalogo-filtros-diesel/partmo-a-116-filtro-aceite.png,"Filtro de aceite Partmo A-116, referencia A-116, equivalencia 51670 / 51870",98590929-Catalogo-de-Filtros-Diesel.pdf,1,ready
partmo-a-116c,A-116C,Filtro de aceite Partmo A-116C,Partmo,A-116C,51671,Filtros de aceite,"Filtro Aceite Flujo Completo Cummins 3302026, Motores V6- 150/V8-210/V-225/V- 555",/catalogo-filtros-diesel/partmo-a-116c-filtro-aceite.png,"Filtro de aceite Partmo A-116C, referencia A-116C, equivalencia 51671",98590929-Catalogo-de-Filtros-Diesel.pdf,1,ready
partmo-a-205,A-205,Filtro de aceite Partmo A-205,Partmo,A-205,,Filtros de aceite,"Filtro Aceite Flujo Completo Motores Cummins, 6C 8.3 y VT-209 ( ) FSR, FTR, FVR HINO FB1JJ/FC4J",/catalogo-filtros-diesel/partmo-a-205-filtro-aceite.png,"Filtro de aceite Partmo A-205, referencia A-205",98590929-Catalogo-de-Filtros-Diesel.pdf,1,ready
partmo-a-22,A-22,Filtro de aceite Partmo A-22,Partmo,A-22,51714,Filtros de aceite,Filtro Aceite Flujo Completo Toyota Coaster / GF (FIAT OM70-OM80) – IVECO135-14 -17,/catalogo-filtros-diesel/partmo-a-22-filtro-aceite.png,"Filtro de aceite Partmo A-22, referencia A-22, equivalencia 51714",98590929-Catalogo-de-Filtros-Diesel.pdf,1,ready
partmo-a-221,A-221,Filtro de aceite Partmo A-221,Partmo,A-221,51627,Filtros de aceite,Filtro Aceite Flujo Completo Camiones Fiat 673 N; Tractores Fiat 650 y 750 (Toyota 2H Diesel),/catalogo-filtros-diesel/partmo-a-221-filtro-aceite.png,"Filtro de aceite Partmo A-221, referencia A-221, equivalencia 51627",98590929-Catalogo-de-Filtros-Diesel.pdf,1,ready
partmo-a-26,A-26,Filtro de aceite Partmo A-26,Partmo,A-26,51243,Filtros de aceite,"Filtro Aceite Flujo Completo John Deer Tractores: Jd600, Jd830, Jd920",/catalogo-filtros-diesel/partmo-a-26-filtro-aceite.png,"Filtro de aceite Partmo A-26, referencia A-26, equivalencia 51243",98590929-Catalogo-de-Filtros-Diesel.pdf,1,ready
partmo-a-267,A-267,Filtro de aceite Partmo A-267,Partmo,A-267,51411,Filtros de aceite,"Filtro Aceite Flujo Completo Camiones / Allis Chalmer 3500, 3500Mk li, D5Nn- 6714-A",/catalogo-filtros-diesel/partmo-a-267-filtro-aceite.png,"Filtro de aceite Partmo A-267, referencia A-267, equivalencia 51411",98590929-Catalogo-de-Filtros-Diesel.pdf,1,ready
partmo-a-291,A-291,Filtro de aceite Partmo A-291,Partmo,A-291,51387,Filtros de aceite,Filtro Aceite Flujo Parcial Mitsubishi Canter,/catalogo-filtros-diesel/partmo-a-291-filtro-aceite.png,"Filtro de aceite Partmo A-291, referencia A-291, equivalencia 51387",98590929-Catalogo-de-Filtros-Diesel.pdf,2,ready
partmo-a-309,A-309,Filtro de aceite Partmo A-309,Partmo,A-309,51747,Filtros de aceite,"Filtro Aceite Flujo Completo Motor IHC, DT 466",/catalogo-filtros-diesel/partmo-a-309-filtro-aceite.png,"Filtro de aceite Partmo A-309, referencia A-309, equivalencia 51747",98590929-Catalogo-de-Filtros-Diesel.pdf,2,ready
